Country,Freedom Score,Freedom Rank,Suicide Rate per 100k,Happiness Rank,Happiness Score,Fifa Rank,Fifa Total Points
Albania,7.568140287999999,48.0,5.6,109.0,4.655,49.0,617.93
Algeria,5.135886055,155.0,3.3,38.0,6.355,38.0,692.49
Angola,5.640662182000001,142.0,8.9,141.0,3.866,143.0,198.64
Argentina,6.469847841,107.0,9.1,26.0,6.65,1.0,1634.02
Armenia,7.241401801,57.0,5.7,121.0,4.36,86.0,412.05
Australia,8.582219227000001,4.0,11.7,9.0,7.313,47.0,641.49
Austria,8.4134742,16.0,11.4,12.0,7.119,31.0,773.49
Azerbaijan,6.083276739,130.0,2.6,81.0,5.291,90.0,386.15
Bahrain,6.848034997,75.0,5.7,42.0,6.218,123.0,263.64
Bangladesh,5.801300179,138.0,6.1,110.0,4.643,185.0,80.79
Belarus,6.144514082000001,128.0,21.4,61.0,5.8020000000000005,74.0,469.76
Belgium,8.153589293,27.0,15.7,18.0,6.9289999999999985,5.0,1367.77
Belize,7.145431918,64.0,5.9,52.0,5.956,163.0,140.82
Benin,6.738488147000001,90.0,15.7,153.0,3.484,66.0,531.39
Bhutan,6.810486407000001,83.0,11.6,84.0,5.1960000000000015,177.0,102.71
Bolivia,6.718385007,92.0,12.9,59.0,5.822,95.0,358.52
Bosnia and Herzegovina,7.230723572,59.0,6.4,87.0,5.1629999999999985,27.0,825.47
Botswana,7.153167226,64.0,11.5,137.0,3.974,112.0,295.52
Brazil,6.207988703,123.0,6.1,17.0,6.952000000000001,2.0,1544.05
Bulgaria,7.782769537999999,41.0,7.9,129.0,4.217,71.0,491.98
Burkina Faso,6.752669835,88.0,14.8,145.0,3.739,50.0,617.37
Burundi,5.167067213,154.0,15.0,157.0,2.905,138.0,212.67
Cambodia,7.204224142999999,61.0,5.9,140.0,3.907,173.0,118.12
Cameroon,5.575387155,144.0,19.5,114.0,4.513,65.0,534.37
Canada,8.565863321,5.0,10.4,6.0,7.404,117.0,281.51
Chad,5.474770535,147.0,15.5,144.0,3.763,152.0,179.39
Chile,8.00801767,32.0,9.7,24.0,6.705,4.0,1403.96
China,5.905410169,135.0,8.0,83.0,5.245,82.0,426.52
Colombia,6.760756637,87.0,7.0,31.0,6.481,6.0,1344.7
Congo DR,5.308628393,151.0,9.7,125.0,4.272,48.0,638.43
Costa Rica,7.857714484,37.0,7.5,14.0,7.0870000000000015,17.0,1040.55
Croatia,7.708087876,44.0,11.5,74.0,5.488,14.0,1103.27
Cyprus,8.112196958,30.0,4.5,69.0,5.546,115.0,290.27
Czech Republic,8.294880707,21.0,10.5,27.0,6.596,43.0,671.35
Denmark,8.547819985,6.0,9.2,1.0,7.526,46.0,643.11
Dominican Republic,7.061287481,69.0,10.5,89.0,5.155,128.0,241.65
Ecuador,6.80527768,83.0,7.2,51.0,5.976,20.0,890.45
Egypt,4.807276886,156.0,4.4,120.0,4.362,36.0,718.83
El Salvador,7.033950991,70.0,13.5,46.0,6.068,137.0,216.34
Estonia,8.436850609,14.0,14.4,72.0,5.517,116.0,284.64
Ethiopia,5.3970449710000015,150.0,11.4,115.0,4.508,112.0,296.23
Finland,8.472183957999999,10.0,13.8,5.0,7.4129999999999985,94.0,367.62
France,8.008401464,32.0,12.1,32.0,6.478,7.0,1305.41
Gabon,5.5777876110000015,144.0,9.6,134.0,4.121,110.0,308.36
Georgia,7.798267752999999,40.0,6.7,126.0,4.252,118.0,280.94
Germany,8.462595689,13.0,9.1,16.0,6.994,3.0,1432.54
Ghana,7.236088907999999,57.0,8.7,124.0,4.276,53.0,611.1
Greece,7.203384075,61.0,3.8,99.0,5.033,42.0,674.34
Guatemala,7.094122991,66.0,2.9,39.0,6.324,79.0,450.36
Guinea,5.650600803,141.0,10.5,151.0,3.607,69.0,507.48
Haiti,6.847221294,75.0,12.2,136.0,4.0280000000000005,73.0,489.26
Honduras,6.723241298,92.0,3.4,104.0,4.871,75.0,467.42
Hungary,7.739472887000001,42.0,13.6,91.0,5.145,26.0,826.32
Iceland,8.151753108,27.0,13.3,3.0,7.501,21.0,889.28
India,6.412935667999999,110.0,16.5,118.0,4.404,135.0,216.95
Indonesia,6.77065623,85.0,3.7,79.0,5.314,171.0,119.77
Iran,5.281224623,153.0,4.0,105.0,4.813,29.0,814.49
Iraq,4.25801381,159.0,4.1,112.0,4.575,119.0,277.57
Ireland,8.504564702,8.0,10.9,19.0,6.907,23.0,857.64
Israel,7.517458071,49.0,5.2,11.0,7.267,55.0,594.72
Italy,7.980223158999999,34.0,5.5,50.0,5.977,16.0,1082.6
Jamaica,7.224208046,60.0,2.0,73.0,5.51,77.0,463.27
Japan,8.101885275,31.0,14.3,53.0,5.921,45.0,644.3
Jordan,6.849333258,75.0,3.7,80.0,5.303,105.0,323.93
Kazakhstan,6.742837772000001,90.0,22.8,54.0,5.919,98.0,354.28
Kenya,6.822768345,82.0,5.6,122.0,4.356,89.0,394.51
Kuwait,6.190287237000001,124.0,2.2,41.0,6.239,171.0,119.77
Kyrgyzstan,6.588506477,99.0,9.1,85.0,5.185,122.0,265.27
Laos,6.386793085,113.0,9.3,102.0,4.876,167.0,133.94
Latvia,8.245534042000001,23.0,17.2,68.0,5.56,111.0,303.61
Lebanon,6.70999709,95.0,3.2,93.0,5.129,147.0,185.54
Liberia,6.481700872,106.0,13.4,150.0,3.622,101.0,338.19
Libya,4.310282812,158.0,5.5,67.0,5.615,85.0,417.45
Lithuania,8.340669463,20.0,25.7,60.0,5.813,105.0,323.87
Luxembourg,8.428700911,15.0,10.4,20.0,6.871,130.0,229.91
Madagascar,6.512561755,103.0,6.9,148.0,3.695,133.0,219.73
Malawi,6.652606805,97.0,7.8,132.0,4.1560000000000015,103.0,329.76
Malaysia,6.4114899770000005,110.0,6.2,47.0,6.005,161.0,143.4
Mali,5.930464736,134.0,8.9,135.0,4.073,60.0,569.25
Malta,8.353998731,19.0,6.5,30.0,6.488,183.0,85.13
Mauritania,5.473874887999999,147.0,7.5,130.0,4.2010000000000005,108.0,316.8
Mauritius,7.8637328160000015,37.0,7.3,66.0,5.648,145.0,191.48
Mexico,6.848010198,75.0,5.2,21.0,6.778,18.0,1012.0
Mongolia,7.699156277,45.0,13.3,101.0,4.907,198.0,38.3
Montenegro,7.335052066,52.0,7.9,88.0,5.1610000000000005,63.0,549.38
Morocco,6.178378256,127.0,3.1,90.0,5.151,57.0,586.71
Myanmar,5.4416804339999985,149.0,8.1,119.0,4.395,159.0,148.23
Namibia,6.897457751,74.0,11.5,113.0,4.574,99.0,346.85
Nepal,6.720805695,92.0,9.6,107.0,4.793,181.0,96.49
Netherlands,8.55442118,6.0,9.6,7.0,7.338999999999999,22.0,887.14
New Zealand,8.887409579,1.0,11.6,8.0,7.334,109.0,310.82
Nicaragua,6.851247363,75.0,11.9,48.0,5.992000000000001,124.0,261.86
Niger,5.862260048,137.0,9.0,142.0,3.856,127.0,246.22
Nigeria,6.071808602999999,132.0,17.3,103.0,4.875,51.0,615.68
Norway,8.471240566,10.0,10.1,4.0,7.497999999999998,83.0,421.95
Pakistan,5.6622962239999985,140.0,3.1,92.0,5.1320000000000014,197.0,39.64
Panama,7.647620037,46.0,4.4,25.0,6.7010000000000005,58.0,584.11
Paraguay,6.962299094,72.0,9.3,70.0,5.5379999999999985,40.0,683.6
Peru,7.575393347,47.0,5.1,64.0,5.7429999999999986,19.0,965.37
Philippines,6.9187633470000005,73.0,3.7,82.0,5.279,120.0,272.68
Poland,7.811560227,39.0,13.4,57.0,5.835,15.0,1086.72
Portugal,8.276856122,22.0,8.6,94.0,5.122999999999998,8.0,1229.12
Qatar,6.507776487999999,103.0,5.8,36.0,6.375,87.0,411.0
Republic of the Congo,5.898933847,136.0,9.3,127.0,4.2360000000000015,70.0,504.11
Romania,8.171616249,24.0,8.0,71.0,5.528,39.0,689.55
Russia,6.272190833,119.0,26.5,56.0,5.856,56.0,591.98
Rwanda,6.9738695260000005,71.0,11.0,152.0,3.515,92.0,373.15
Saudi Arabia,5.479366035,146.0,3.4,34.0,6.379,54.0,605.09
Senegal,6.497093885,105.0,11.8,128.0,4.2189999999999985,33.0,754.74
Serbia,7.348971626,51.0,10.9,86.0,5.1770000000000005,44.0,646.93
Sierra Leone,6.3973295760000015,112.0,16.1,111.0,4.635,96.0,355.23
Singapore,8.159711817,25.0,7.9,22.0,6.739,165.0,134.58
Slovenia,7.936395732999999,35.0,13.3,63.0,5.768,51.0,615.53
South Africa,7.172571807000001,63.0,12.8,116.0,4.459,60.0,569.12
South Korea,8.148174929,27.0,20.2,57.0,5.835,37.0,699.47
Spain,8.159106882,25.0,6.1,37.0,6.3610000000000015,10.0,1165.66
Sri Lanka,6.265360917000001,119.0,14.2,117.0,4.415,195.0,44.14
Sudan,4.803023585,157.0,9.5,133.0,4.1389999999999985,135.0,216.71
Suriname,7.074281523,67.0,23.2,40.0,6.269,150.0,182.5
Sweden,8.387375149,17.0,11.7,10.0,7.291,41.0,675.35
Switzerland,8.78775905,2.0,11.3,2.0,7.508999999999999,11.0,1128.75
Syria,3.765826877,162.0,2.4,156.0,3.069,96.0,354.88
Tajikistan,6.18616229,124.0,3.3,100.0,4.996,129.0,231.14
Tanzania,6.523209346,102.0,9.6,149.0,3.666,156.0,153.61
Thailand,6.6247813010000005,98.0,12.9,33.0,6.474,126.0,253.82
Togo,6.274969005,119.0,16.6,155.0,3.303,91.0,385.32
Trinidad and Tobago,6.8252231939999985,81.0,12.9,43.0,6.167999999999998,78.0,451.5
Tunisia,6.433736122000001,109.0,3.2,98.0,5.045,35.0,737.54
Turkey,6.466232654,107.0,7.2,78.0,5.3889999999999985,24.0,850.58
Uganda,6.769444547000001,85.0,20.0,145.0,3.739,72.0,490.48
Ukraine,6.283135204,118.0,18.5,123.0,4.324,30.0,803.65
United Arab Emirates,6.286675088,117.0,2.7,28.0,6.573,64.0,541.92
United Kingdom,8.497917936,8.0,7.6,23.0,6.725,13.0,1114.45
United States of America,8.388655108,17.0,13.7,13.0,7.104,28.0,822.0
Uruguay,7.728070903,43.0,16.5,29.0,6.545,9.0,1187.31
Venezuela,4.2007244560000006,161.0,3.8,44.0,6.084,59.0,580.98
Vietnam,6.1940038,124.0,7.0,96.0,5.061,134.0,217.75
Yemen,4.25327767,160.0,9.8,147.0,3.724,148.0,184.14
Zambia,6.308849427999999,116.0,11.3,106.0,4.795,88.0,400.56
Zimbabwe,5.6153627870000005,143.0,19.1,131.0,4.1930000000000005,102.0,334.3
